,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
55629,0x808f7e2d25c415a5:0x63f483c813b91c8f,Source,"Source, 11 Division St, San Francisco, CA 94103",37.7694622,-122.4025698,Vegan restaurant,4.1,68,None,Sin resultados vinculados,Delivery,Dining Venue,11 Division St,San Francisco,San Francisco
56074,0x808fcde2ed993429:0xd80864b96af27cdc,Con sabor a Mexico,"Con sabor a Mexico, 500 W San Carlos St, San Jose, CA 95126",37.3253588,-121.898537,Taco restaurant,5.0,18,Open ⋅ Closes 8PM,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Dining Venue,500 W San Carlos St,San Jose,Santa Clara
56075,0x808e33eef167b00d:0xaca58d640f044aea,Los Dubon Restaurant,"Los Dubon Restaurant, 1182 Lincoln Ave, San Jose, CA 95125",37.307118,-121.8995972,Salvadoran restaurant,3.8,18,Open ⋅ Closes 8:30PM,Sin resultados vinculados,"Takeout, Dine-in",Dining Venue,1182 Lincoln Ave,San Jose,Santa Clara
56614,0x80c3643366e3b487:0x15bcb6613d7d3f74,7-Eleven,"7-Eleven, 14595 Seventh St, Victorville, CA 92395",34.5159955,-117.313051,"Convenience store, Bakery, Beer store, Candy store, Coffee shop, Food products supplier, Gas station, Snack bar, Tobacco shop, Wine store",2.4,28,Open 24 hours,"0x80c364483c376eff:0x54eb1958f4fc61d7, 0x80c365eefc99cff9:0xe7850c3fd3f8dd85, 0x80c36f1a3074c781:0xb46372572c7ee591, 0x80c3677efcad60e9:0xde08a085b988dbc4","No-contact delivery, Delivery, In-store shopping",Café & Coffee,14595 Seventh St,Victorville,San Bernardino
57208,0x80eadd087916a151:0xe9f866917196f6e7,Subway,"Subway, 1164 N Front St, Earlimart, CA 93219",35.8944185,-119.2759073,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3.8,37,Open ⋅ Closes 11PM,"0x80eadd0eb8acb033:0x5ae110c08e17021c, 0x80eadd6562d321ab:0x1a9e6d072e793440, 0x80eadd74bceafd49:0xf5d478fed5349fff, 0x80eadd09759790e1:0x77fa1bd1cf0572e1","Takeout, Dine-in",Dining Venue,1164 N Front St,Earlimart,Tulare
58369,0x8085784fbe31dc5b:0x717667cec5307c54,Trevino's,"Trevino's, 11795 San Pablo Ave, El Cerrito, CA 94530",37.9275935,-122.3205368,Mexican restaurant,4.0,36,None,"0x80857855a35281f1:0x4051f05fcde13f9e, 0x8085783cae8ab537:0xd58cd2ef361d8fdb, 0x808577c32eceecb9:0x706ab0c5a84b0434, 0x808578039dc20d8f:0x5da247b25d148738",Delivery,Dining Venue,11795 San Pablo Ave,El Cerrito,Contra Costa
59182,0x80966ae37904d653:0x3e9e551c82823ca8,Alpine Deli and Pizza Co,"Alpine Deli and Pizza Co, 2784-B, Boulder Dr, June Lake, CA 93529",37.7777052,-119.0764539,"Deli, Pizza Takeout, Sandwich shop",4.1,28,Closed ⋅ Opens 4PM Wed,"0x80966ae5db35b60f:0x133ce0d9850ab7a5, 0x80966a3583938485:0xe1e9a21459f607f6, 0x80966bd6ed018d41:0x74e7c8f85f239546","In-store shopping, Takeout, Delivery",Quick Service,"2784-B, Boulder Dr",June Lake,Mono
59800,0x80d957868f2ff275:0x2a58075cad572fc8,Lolita's Mexican Food,"Lolita's Mexican Food, 5120 College Ave Suite 125, San Diego, CA 92115",32.7710336,-117.0702359,"Restaurant, Mexican restaurant",4.2,38,Open ⋅ Closes 9PM,"0x80d95685a467ad0b:0x88c08515a1b353be, 0x80d9568683582871:0x322c040727ae2fd7, 0x80d956970c94a9bf:0x3218612f38f011a1, 0x80d95420918d248b:0xaea35f153528a8df, 0x80d95685b8e1468b:0xed6a30cce386c586","Delivery, Takeout, Dine-in",Dining Venue,5120 College Ave Suite 125,San Diego,San Diego
60421,0x809054bee4f0ff45:0x7a4d72a9c2f53a35,El Palenque,"El Palenque, 1432 Mayette Ave, Modesto, CA 95351",37.6234201,-121.0188762,"Bar, Latin American restaurant, Mexican restaurant",3.7,17,Closed ⋅ Opens 12PM,"0x809053c044163825:0x4481e947a8fc1bf0, 0x8090539216518a29:0xf8aad735eb3af33b, 0x80905364855c7b0f:0x1f74842c31bd1d77, 0x809053f3ed89abbb:0xcd7d12f52efc906c","Dine-in, Delivery",Dining Venue,1432 Mayette Ave,Modesto,Stanislaus
60475,0x80c34c8452e55553:0x314f9cf33b21aa82,EL OASIS FRUTAL,"EL OASIS FRUTAL, 16385 Merrill Avenue #500, B, Fontana, CA 92335",34.0918069,-117.4469667,"Juice shop, Mexican restaurant",4.3,17,Open ⋅ Closes 8PM,"0x80c34c6113f5a861:0xb848d61fd432ffd0, 0x80c34c89b83f94e7:0x78b348e624c102a, 0x80c34b967c5ec783:0x97594ea18408662c, 0x80c34b87d3380bfb:0xd777810e0025927e, 0x80c34c947ddf3113:0x648c1f61639b1adb","Takeout, Dine-in, Delivery",Dining Venue,"16385 Merrill Avenue #500, B",Fontana,San Bernardino
60502,0x80c2d78f83e4823d:0xb9a3d42214ea59a4,Pho Oh Love,"Pho Oh Love, 1831 N Hacienda Blvd, La Puente, CA 91744",34.0521515,-117.9439046,Vietnamese restaurant,4.7,24,Open ⋅ Closes 8:30PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,1831 N Hacienda Blvd,La Puente,Los Angeles
61918,0x80c3345700293b63:0xcaada1f034a260e8,Pacific Grille,"Pacific Grille, 2200 E Holt Blvd, Ontario, CA 91761",34.0633987,-117.6050917,"Restaurant, Lounge",3.8,17,None,"0x80c334598fe2c60d:0xce25694c97fb8a79, 0x80c3345b04a5263f:0x57b035f9722ba8e, 0x80c3345a13567cff:0xa4ceb27cd272225f, 0x80c33459edbce54d:0x17922b4d9bf7a4e9, 0x80c335ac49a0961b:0xb4149f051930f765",Delivery,Dining Venue,2200 E Holt Blvd,Ontario,San Bernardino
62535,0x80c3317fe7ac0001:0xd7aa83c1fd777828,La Michoacana,"La Michoacana, 9469 Central Ave, Montclair, CA 91763",34.0819621,-117.6891107,Mexican restaurant,3.9,30,Closed ⋅ Opens 10AM Wed,"0x80c32e1fc285484b:0x9a793fe6ca9685c3, 0x80c333dcdfaad639:0xb352f0eb0ed801a5, 0x80c3334d595bac5f:0x1a8d91a7bbbcae78, 0x80c336bad64046af:0xf328ef77ab6717c6","Takeout, Dine-in, Delivery",Dining Venue,9469 Central Ave,Montclair,San Bernardino
62587,0x80dcd8e45e230f4d:0xd4ad1cdcfb4b5027,Taqueria La Fiesta,"Taqueria La Fiesta, 3479, 1180 S Bristol St #106, Santa Ana, CA 92704",33.7324989,-117.8863074,"Mexican restaurant, Latin American restaurant",3.8,16,Closed ⋅ Opens 10AM,"0x80dcd8f8be0d689f:0x8ab4546a3384ce76, 0x80dcd8ff72ead5e3:0x6e7babc8aa71ac37, 0x80dd27862c4a5237:0xdad26b308ec9ed37, 0x80dcd923041b83e7:0x7df0241fc6e3dcb","Takeout, Dine-in, Delivery",Dining Venue,"3479, 1180 S Bristol St #106",Santa Ana,Orange
63436,0x80dbe9a345445081:0x87c14e04a71c1c9,Popeyes Louisiana Kitchen,"Popeyes Louisiana Kitchen, 1801 Main St, Ramona, CA 92065",33.035148,-116.881349,"Chicken restaurant, Cajun restaurant, Fast food restaurant, Restaurant, Seafood restaurant",4.2,33,Closed ⋅ Opens 10AM,Sin resultados vinculados,"Takeout, Dine-in",Dining Venue,1801 Main St,Ramona,San Diego
63733,0x80deaa0ee3ea1bdb:0x61a87ec3e5ef0ba,El Jefes Taco Shop,"El Jefes Taco Shop, 3105 Ocean Front Walk, San Diego, CA 92109",32.7700243,-117.2527426,Taco restaurant,4.0,26,Closed ⋅ Opens 12PM,"0x80deaa0935e83461:0xb05a4f693a5d4901, 0x80deaa094a12bc8b:0xacae34aaa768c47b, 0x80deaa11ebfae401:0x7dba760832f9aa94, 0x80dc01efabd3dff3:0x4e8ac2b8d3bd31c7, 0x80deaa092eb74757:0x30fd1cbeec26f0bf","Takeout, Dine-in, Delivery",Dining Venue,3105 Ocean Front Walk,San Diego,San Diego
64259,0x808579a13d92e57b:0x80636c4c581b70d8,Shangrila Buddha Organic Vegan Restaurant,"Shangrila Buddha Organic Vegan Restaurant, 755 San Pablo Ave, Albany, CA 94706",37.8921543,-122.299302,Vegan restaurant,4.7,36,Closed ⋅ Opens 11AM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,755 San Pablo Ave,Albany,Alameda
64517,0x80dc072d35244e9f:0x73b5a20fbf1d04d6,Charleys Cheesesteaks,"Charleys Cheesesteaks, 4545 La Jolla Village Dr Ste FC3A, San Diego, CA 92122",32.8703549,-117.2103986,"Cheesesteak restaurant, American restaurant, Fast food restaurant, Sandwich shop",4.2,36,Closed ⋅ Opens 11AM,"0x80d955496231ae77:0x9bdab31111e938cc, 0x80dbffe9a98fac1f:0xb6ec7bf0168ab44, 0x80dc072d34096391:0x2a198af359c87bb4, 0x80d959b69bae8581:0x96d7f83825e36943, 0x80d9537c4aaf33c3:0x3bc6db2327d8a9d1","Delivery, Takeout, Dine-in",Dining Venue,4545 La Jolla Village Dr Ste FC3A,San Diego,San Diego
65396,0x80dd3138a43a4147:0xa2e5ff443ec27a3a,TOGO'S Sandwiches,"TOGO'S Sandwiches, 510 Long Beach Blvd, Long Beach, CA 90802",33.773082,-118.189096,"Sandwich shop, Caterer, Deli, Fast food restaurant, Takeout Restaurant, Restaurant, Salad shop",3.9,18,None,"0x80dd31f79ef52439:0x507ac030cef902b1, 0x80dd31473ac796d7:0x2691789fce1d8bc8, 0x80dd314737fb34a1:0x8bc0e9f3cfd0ea31, 0x80dd317a919a7e31:0x6e6f5376f9113bec, 0x80dd313c115f7f5d:0x3d4c14a19e62ed7b","Takeout, Delivery",Dining Venue,510 Long Beach Blvd,Long Beach,Los Angeles
66543,0x80e82538e483969b:0xb8cf9aec4d482d22,Bonibi Coffee,"Bonibi Coffee, 32123 Lindero Canyon Rd STE 111, Westlake Village, CA 91361",34.1386624,-118.8230376,"Coffee shop, Bakery, Gift shop, Pastry shop, Tea house",4.8,28,Closed ⋅ Opens 8AM,"0x80e824e25b347f5d:0x8f09d19c3f45c1b, 0x80e82522eeaaf937:0x77e2bb1d979a712d, 0x80e830bb6ca43979:0xaff2f9f68cbe96c7, 0x80e825e4971e7641:0xf6476f837497ab85","Outdoor seating, Takeout, Dine-in, Delivery",Café & Coffee,32123 Lindero Canyon Rd STE 111,Westlake Village,Los Angeles
66544,0x80eadbbb62e66a23:0x53634d6721b59fe5,Taco Truck,"Taco Truck, 225 Allen Ave, Pixley, CA 93256",35.9649821,-119.2922385,Mexican restaurant,4.6,24,Closed ⋅ Opens 10AM,"0x80eadbb0ef2983c3:0x74904b705555d349, 0x80eadbb0e1fb01c3:0x58856d8807d08657, 0x80eadbb1424e666b:0xe3a29f7548e2c154, 0x80eadbb04152c903:0xea65287000140, 0x80eadd09759790e1:0x77fa1bd1cf0572e1","Takeout, Dine-in, Delivery",Dining Venue,225 Allen Ave,Pixley,Tulare
67481,0x80910ebdc97608cd:0xa5490e548b2faafa,Scoops,"Scoops, 16385 Schendel Ave # G, Delhi, CA 95315",37.4259455,-120.7844734,"Ice cream shop, Coffee shop, Dessert shop, Sandwich shop",4.8,17,Closed ⋅ Opens 12PM,"0x80910e90943a5f35:0x9f5dce1bb09b4aff, 0x8091066af0f7ec99:0x36b248cfa07143d, 0x80910d79a046d6d1:0xb06aea6f8e0a72b3, 0x8091064a3b8e3b67:0x56df0f0d63c32223, 0x80916b65d22c9ac5:0x1ce421351e6e2eea","Takeout, Delivery",Sandwich Bar,16385 Schendel Ave # G,Delhi,Merced
68786,0x80dc74c05fbe32a5:0xba7207ab85bb8e32,Forum Deli,"Forum Deli, 3132 Tiger Run Ct, Carlsbad, CA 92010",33.1311023,-117.2425223,Sandwich shop,4.1,14,Closed ⋅ Opens 9AM,"0x80dc74ec632ec25d:0x55a13fa6884c9fd5, 0x80dc7360215042f3:0xbc4c18ac697f5a92, 0x80dc0c6f2065cc61:0xcaeb217504504890, 0x80dc71582f8782d3:0xf5b21091c5ea9ac7, 0x80dc0b7f897bc9a3:0xbabd9dfa75b430dd","No-contact delivery, Delivery, Takeout",Sandwich Bar,3132 Tiger Run Ct,Carlsbad,San Diego
69037,0x80dd362ffc0c50d5:0xd4afdef520c64b08,Tacos Y Mariscos,"Tacos Y Mariscos, 615 S Pacific Ave, San Pedro, CA 90731",33.7384074,-118.2880763,Mexican restaurant,3.8,58,Closed ⋅ Opens 10AM,"0x80dd362fdfce1b83:0x79d976d11a3c6b51, 0x80dd362fe19b2239:0xdc6813561d145610, 0x80dd36238dd0f473:0xad285ae4e00536d, 0x80dd363b55832469:0xdce156575e6ff58a, 0x80dd362ffbe85fc9:0xfc7a880991cc465b","Delivery, Takeout, Dine-in",Dining Venue,615 S Pacific Ave,San Pedro,Los Angeles
70350,0x54d3126e224514a5:0xc5e32232d9681576,Wildwood Inn and RV Park,"Wildwood Inn and RV Park, 2721 Wildwood Rd, Wildwood, CA 96076",40.402172,-123.0596084,"RV park, Bar, Beer store, Cafe, Gas station, Pizza restaurant, Pool hall, Wine bar, Wine store",4.5,25,None,"0x54d3127141213075:0xa5384397679cac85, 0x54d30ec4aa86a487:0x9f473da08152dbab",Sin dato,Dining Venue,2721 Wildwood Rd,Wildwood,Trinity
70445,0x80857fb9e4fc285f:0x857dd299dab5d6cb,Pizza Guys,"Pizza Guys, 1109 University Ave, Berkeley, CA 94702",37.8694048,-122.2916698,Pizza restaurant,4.3,18,Closed ⋅ Opens 10AM,Sin resultados vinculados,"Delivery, Takeout",Dining Venue,1109 University Ave,Berkeley,Alameda
70446,0x80905366c9b34421:0xc2f925cc339e8082,Guadalajara Market,"Guadalajara Market, 1605 Crows Landing Rd, Modesto, CA 95358",37.6072901,-120.9939017,Mexican restaurant,4.2,68,Closed ⋅ Opens 7AM,"0x8090535e9548b28d:0xdd88ab4a4b5afa7b, 0x80905364855c7b0f:0x1f74842c31bd1d77, 0x8090535dfc335627:0x16db3c6820e71dfc, 0x8090537b5825c955:0x16569c60aac40eaa, 0x8091a855dfaf5d09:0xa94e329fa12fbec3","Takeout, Dine-in, Delivery",Dining Venue,1605 Crows Landing Rd,Modesto,Stanislaus
73188,0x808f7f6366731ebd:0x8f3d832962c9ee77,SPRO,"SPRO, 500 Church St, San Francisco, CA 94114",37.7627973,-122.4286748,"Cafe, Bakery, Coffee shop, Dessert shop, Hamburger restaurant, Restaurant, Salad shop, Sandwich shop",4.9,35,Closed ⋅ Opens 7AM Tue,Sin resultados vinculados,"Outdoor seating, Takeout, Dine-in",Dining Venue,500 Church St,San Francisco,San Francisco
73561,0x80c2bb5bf5cc4ce9:0xa46604dd543ca1c7,Yamakase,"Yamakase, 11901 Santa Monica Blvd, Los Angeles, CA 90025",34.0421467,-118.4608771,Restaurant,4.5,25,Closed ⋅ Opens 7PM Tue,"0x80c2a4c4528cf3ed:0x5423b7fd136ee520, 0x80c2bb098468d6a7:0xd242b7364a3dd8bd, 0x80c2ba34c89eb16f:0x49648b4811cb5b39, 0x80c2bb684a20dd9d:0xa5a8ac9b5becd509","Dine-in, Delivery",Dining Venue,11901 Santa Monica Blvd,Los Angeles,Los Angeles
74984,0x80c2c7b3b03af0f3:0xae620d1f51b14c0b,Salata,"Salata, 505 Flower St #B430, Los Angeles, CA 90071",34.0514702,-118.2564231,"Restaurant, Takeout Restaurant, Salad shop, Soup restaurant",3.8,34,Closed ⋅ Opens 10:30AM Tue,"0x80c2c7b65a92a9b3:0xd888f61a78330c6, 0x80c2c7c2ef6b5d3b:0x93f439f4d311be81, 0x80c2c7c223775fcd:0x33fe9b8063b60da2, 0x80c2c7b3b03af0f3:0x72dac74ab6281b25","No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,505 Flower St #B430,Los Angeles,Los Angeles
77525,0x80dc7514687a3097:0x9126724fe1e118fd,Meal Prep Sunday San Diego,"Meal Prep Sunday San Diego, 2381 La Mirada Dr, Vista, CA 92081",33.152487,-117.2278859,"Delivery Restaurant, Health food store",4.7,96,Open 24 hours,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,2381 La Mirada Dr,Vista,San Diego
78418,0x809ad758b410f11b:0x6a6aef4b5f1a3337,Shop & Save Smoke Shop,"Shop & Save Smoke Shop, 2525 Del Paso Blvd, Sacramento, CA 95815",38.6129843,-121.4467469,"Restaurant, Store",3.7,28,Open ⋅ Closes 8PM,"0x809ad9e2ed713e6b:0xb7d1aa53ec87b9a8, 0x809ad9ee7c26e0f5:0x3454027dd8a505d3, 0x809ad75cbbb44151:0xd9f3201599f7db59, 0x809ad9d5509d4a7b:0xa3c083c3901956d8",Delivery,Dining Venue,2525 Del Paso Blvd,Sacramento,Sacramento
78500,0x80c2c62e938d4ad7:0x10113c7633cb19d2,La Papa Loca,"La Papa Loca, 1210 E Olympic Blvd, Los Angeles, CA 90021",34.0331421,-118.2457837,Mexican restaurant,4.2,35,Open ⋅ Closes 8:30PM,"0x80c2c6060f244b5d:0xba79c65be0d3ec63, 0x80c2c634ad2e85c1:0x7608d5d491acbfd4, 0x80c2c7cad7dc1225:0xa0c375b6f0b63157, 0x80c2c6292d80e60b:0x6d2ed67b8945906e","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,1210 E Olympic Blvd,Los Angeles,Los Angeles
81319,0x80c2b9518dc4f7e7:0xdfbf945567a04fe2,Star Night,"Star Night, 3855 Wilshire Blvd, Los Angeles, CA 90010",34.0619887,-118.3108337,"Korean restaurant, Asian restaurant, Bar, Beer garden, Dinner theater, Lounge",4.1,118,Closed ⋅ Opens 5PM,"0x80c2b882d2258de7:0x6ba5b6d4dd6ad7e, 0x80c2c77e380fe22f:0xf5ad158a438adcec, 0x80c2c77d42f8f245:0xb46807a8ea64c6c5, 0x80c2c77d8fb16dcd:0xf4513b5c7b31c44e, 0x80c2b89009cb4993:0x3ea92acad63469a8","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,3855 Wilshire Blvd,Los Angeles,Los Angeles
81371,0x80858098b84b7d5d:0x1c94d9c3a89b3839,Stelline,"Stelline, 330 Gough St, San Francisco, CA 94102",37.7767173,-122.4226999,Restaurant,4.1,16,None,Sin resultados vinculados,Delivery,Dining Venue,330 Gough St,San Francisco,San Francisco
82176,0x80eafbb0a4c71551:0xb3569973afb20bc4,Broski Mariscos,"Broski Mariscos, 46 Rd 156, Delano, CA 93215",35.7912857,-119.2230429,Seafood restaurant,4.7,33,None,"0x80eae76408a36cad:0x65fe7da4a35e38, 0x80eae5e1d135f829:0x736ea2bac26128a, 0x80eafa998097a991:0xc0d77f9440c98c2f, 0x80eaf07e34f57611:0x43a3e37ad32d04a2","Takeout, Dine-in, Delivery",Dining Venue,46 Rd 156,Delano,Kern
83556,0x80c35123629c7e37:0x618390bd15821710,Einstein Bros. Bagels,"Einstein Bros. Bagels, 5500 University Sciences Building, San Bernardino, CA 92407",34.1833676,-117.3251213,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Coffee shop",4.3,36,Open ⋅ Closes 8PM,"0x80dcac8d8ade4291:0x22de593233e2c0a8, 0x80c3522b236e11d3:0x197e12f3c8aca7b8, 0x80c3519adaa56b45:0xa2f0940dae0fd9aa, 0x80c3518de2e80335:0x8b3121697b7ed798, 0x80c3518fc3fcacc9:0x834cfd7c0278cc1b","In-store pickup, In-store shopping, Takeout",Dining Venue,5500 University Sciences Building,San Bernardino,San Bernardino
84082,0x80c286c058efe071:0x731b6cf8b2c857b4,S & S Donut & Bake Shop,"S & S Donut & Bake Shop, 24266 Lyons Ave, Santa Clarita, CA 91321",34.378231,-118.5595448,Bakery,4.6,26,Open ⋅ Closes 6PM,"0x80c27d8c0ea4c05d:0x8501abf84fc5e954, 0x80c288888fc9157d:0x85a374125d75347b, 0x80c281282b2d7051:0x529a857f61ed971b, 0x80c2865fc3bd2c7d:0xbca85b4f2efe4d52, 0x80c2868d1dbd1819:0x872dd545888e78a6","In-store shopping, Takeout, Delivery",Bakery Shop,24266 Lyons Ave,Santa Clarita,Los Angeles
85418,0x80c2c712dc6c3aa1:0xd01bff4a6fb3492a,Panamerican Night Club (Oficial),"Panamerican Night Club (Oficial), 2601 W Temple St, Los Angeles, CA 90026",34.0726952,-118.2749667,"Night club, Bar, Restaurant",4.0,98,Closed ⋅ Opens 9PM,"0x80c2c7c97a2afe63:0xad368894d57170a1, 0x80c2c7b782019c1b:0x2aa1b5c2532a2b08, 0x80c2c6ff80245dd5:0x5a1488e59e03d133, 0x80c2b8ad313d9f47:0x93481c19c1d8862e, 0x80c2c6cf1f507203:0x598b41f2579be3be","Dine-in, Delivery",Dining Venue,2601 W Temple St,Los Angeles,Los Angeles
86684,0x80c2bb9c60b71fd5:0x257df43021838bbe,Sushi Masu,"Sushi Masu, 1911 Westwood Blvd, Los Angeles, CA 90025",34.0477539,-118.4353355,"Sushi restaurant, Barbecue restaurant, Japanese restaurant, Restaurant",4.3,26,None,"0x80c2bbd03da7bac3:0xd384ff9f4914014e, 0x80c2bb7770bea143:0xa52f543738424b9b, 0x80c2bb0ac7a8d761:0xcec9309b9f78f309, 0x80c2bb098468d6a7:0xd242b7364a3dd8bd, 0x80c2bb7525deddaf:0x2c508ff0b1e72be3",Delivery,Dining Venue,1911 Westwood Blvd,Los Angeles,Los Angeles
87032,0x80c329e97079dd07:0xbb4c93b0058fbf0d,Crumbl Cookies - Glendora,"Crumbl Cookies - Glendora, 1365 E Gladstone St, Glendora, CA 91740",34.1164033,-117.8358673,"Bakery, Cookie shop, Dessert shop",4.8,197,Closed ⋅ Opens 8AM,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, In-store pickup, In-store shopping, Takeout, Dine-in, Same-day delivery",Bakery Shop,1365 E Gladstone St,Glendora,Los Angeles
87913,0x80c2c920e14eef15:0x5742c3ff75909ee3,Tokyo Bowl,"Tokyo Bowl, 5938 Pacific Blvd, Huntington Park, CA 90255",33.9873914,-118.2246128,"Japanese restaurant, Asian restaurant",4.2,38,Closed ⋅ Opens 11AM,"0x80c2c94a6eef8fd7:0x1080f2f1d351425a, 0x80c2c9239ba2dd3f:0x55ea356e76a08b06, 0x80c2c8de8ff81fab:0x50aff51b35e65c3b, 0x80c2c7c2b6a7537f:0x904ec3408dd25a6f, 0x80c2c92ea6c9baf1:0x7b9864e055984ff6","Delivery, Takeout, Dine-in",Dining Venue,5938 Pacific Blvd,Huntington Park,Los Angeles
88377,0x80dcd57875a9ba93:0x2f865b28228cd1b5,Din Tai Noodle,"Din Tai Noodle, 1034 E Bastanchury Rd, Fullerton, CA 92835",33.8984004,-117.9118666,"Chinese noodle restaurant, Asian fusion restaurant, Chinese restaurant, Takeout Restaurant",4.3,16,Closed ⋅ Opens 11AM Tue,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,1034 E Bastanchury Rd,Fullerton,Orange
89465,0x80ece37d08aad231:0x5fc581d6af290ab1,Beerwood,"Beerwood, 690 Santa Maria Ave, Baywood-Los Osos, CA 93402",35.3283335,-120.8400805,Restaurant,4.9,45,Closed ⋅ Opens 11AM,Sin resultados vinculados,"Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,690 Santa Maria Ave,Baywood-Los Osos,San Luis Obispo
90169,0x80c32bf500c0abc9:0x6c366f8a918f5aed,Subway,"Subway, 21710 Valley Blvd Suite C, City of Industry, CA 91789",34.0279843,-117.8337104,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3.6,38,Closed ⋅ Opens 9AM,"0x80c32bf5aa338c3f:0x180104ad05e07948, 0x80c32bf4e57c7bf3:0xb344a0a1645b302, 0x80c32bf5a68572e5:0x5702213c00d8a9e","Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,21710 Valley Blvd Suite C,City of Industry,Los Angeles
90192,0x80dcd94f21252ddb:0xb92a04d481fbe01a,Tacos El Catrin,"Tacos El Catrin, 415 N Bristol St, Santa Ana, CA 92703",33.7486392,-117.8847965,Restaurant,4.7,35,Closed ⋅ Opens 7PM,"0x80dd27862c4a5237:0xdad26b308ec9ed37, 0x80dcd9279656a619:0x411e22350afd8319, 0x80dcd8da655f0001:0x5fc71cdae5ee4382, 0x80dcd9afc88bb9ff:0x74744fbd22a0ca4b, 0x80dcd85bd5806fab:0xcd28b015a7810b6d","Outdoor seating, Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,415 N Bristol St,Santa Ana,Orange
91593,0x80dcd949e53e5d2d:0xb03235799f52fe2a,Cafe 269,"Cafe 269, 12781 Harbor Blvd, Garden Grove, CA 92840",33.777559,-117.9163068,Cafe,4.5,18,Closed ⋅ Opens 7AM,Sin resultados vinculados,Delivery,Café & Coffee,12781 Harbor Blvd,Garden Grove,Orange
92682,0x808e32ea37ec2793:0x3bf2fc4cb6436cce,Xinh Xinh Cafe,"Xinh Xinh Cafe, 1075 Tully Rd, San Jose, CA 95122",37.3149174,-121.8380708,Cafe,4.3,36,Open ⋅ Closes 12AM,"0x808e32bc2a4b0731:0x982ca2ed3efacbf3, 0x808e332ab4d414d7:0x63824bb11546c97d, 0x808fcd2a5bab78dd:0xe20e006c4bce2334, 0x808e32a345879389:0x1ba3674ec8f207f, 0x808e32a35a3b0bf3:0x8db3a8150552ca97","Takeout, Dine-in, Delivery",Café & Coffee,1075 Tully Rd,San Jose,Santa Clara
93884,0x809ad7381afd6843:0xceaecec727b67574,Dutch Bros Coffee,"Dutch Bros Coffee, 4130 Northgate Blvd, Sacramento, CA 95834",38.644403,-121.475713,"Coffee shop, Cafe, Juice shop, Tea house",4.4,98,Open ⋅ Closes 11PM,Sin resultados vinculados,"Outdoor seating, Takeout, Delivery",Café & Coffee,4130 Northgate Blvd,Sacramento,Sacramento
94327,0x80c2c83f3df0aba3:0xed2bf79813b73da6,Chavez Guadalupe,"Chavez Guadalupe, 5300 S Broadway, Los Angeles, CA 90037",33.9940754,-118.2780823,Mexican restaurant,4.4,37,Open 24 hours,"0x80c2bf271841680d:0xacf2ee3773d03680, 0x80c2c83f17e8bd67:0x77fdfa9dee996df3, 0x80c2c8471966d5af:0x33c009508895af3b, 0x80c2c86aee1dc0fd:0x5a0a41eb48e43c53, 0x80c2c9075807ed0b:0x39785d922f44e660","Takeout, Dine-in, Delivery",Dining Venue,5300 S Broadway,Los Angeles,Los Angeles
94830,0x80dcad6668cbae5d:0xac06c6b19e181bcd,El Rey del Pollo,"El Rey del Pollo, 1145 N Mt Vernon Ave, Colton, CA 92324",34.0767257,-117.3156366,Restaurant,4.7,28,Closed ⋅ Opens 10AM Mon,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,1145 N Mt Vernon Ave,Colton,San Bernardino
95199,0x808fbf4f123a9263:0x6ccf45242ea2ab9f,La Farfalla Bakery,"La Farfalla Bakery, 39055 Cedar Blvd #182, Newark, CA 94560",37.5232278,-122.0078607,Bakery,3.5,18,Closed ⋅ Opens 9AM Mon,"0x808fbf0f60dd5b87:0x26c075e4a4002ca4, 0x808fbf12445673a5:0x510cf969a766f4e9, 0x808fc09c29b94803:0x6d714f89dec4a647, 0x808fbe2cf981b945:0xcfbef82ec813d738, 0x808fbf5dc3073353:0x97ff0a9c84de14d","Delivery, In-store shopping, Takeout",Bakery Shop,39055 Cedar Blvd #182,Newark,Alameda
